Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
3/27/1975 18:00,177.75,1,4477,61.3,-9,0.1,6.8,-9,47,-9,-9,-9,,3
3/28/1975 18:00,178.75,1,4379,49.3,-9,0.11,6.3,-9,45,-9,-9,-9,,3
3/29/1975 18:00,179.75,1,4509,46.3,-9,0.115,6.2,-9,47,-9,-9,-9,,3
3/30/1975 18:00,180.75,1,10580,65.2,-9,0.155,6.3,-9,58,-9,-9,-9,,3
3/31/1975 18:00,181.75,0.938,15056,146,-9,0.17,5.4,-9,45,-9,-9,-9,,3
4/1/1975 15:00,182.63,0.563,12007,240,0.563,0.14,9.9,-9,97,-9,-9,-9,,4
4/1/1975 21:00,182.88,0.25,10580,216,0.527,0.11,9.5,-9,96,-9,-9,-9,,4
4/2/1975 3:00,183.13,0.25,9473,190,0.443,0.115,9.5,-9,100,-9,-9,-9,,4
4/2/1975 9:00,183.38,0.375,8279,173,0.457,0.105,9.4,-9,100,-9,-9,-9,,4
4/2/1975 21:00,183.88,0.375,6523,241,0.485,0.11,9.3,-9,98,-9,-9,-9,,4
4/3/1975 3:00,184.13,0.25,7480,200,0.485,0.1,9.3,-9,99,-9,-9,-9,,4
4/3/1975 9:00,184.38,0.25,7688,188,0.457,0.095,9.1,-9,100,-9,-9,-9,,4
4/3/1975 15:00,184.63,0.25,6677,177,0.422,0.11,9.5,-9,99,-9,-9,-9,,4
4/3/1975 21:00,184.88,0.25,6484,173,0.359,0.12,9.6,-9,100,-9,-9,-9,,4
4/4/1975 3:00,185.13,0.25,5621,152,0.408,0.12,9.6,-9,101,-9,-9,-9,,4
4/4/1975 9:00,185.38,0.25,5842,151,0.401,0.11,9.2,-9,100,-9,-9,-9,,4
4/4/1975 15:00,185.63,0.25,6216,129,0.345,0.1,9.2,-9,101,-9,-9,-9,,4
